id,SMILES_input
1,C C O C 1 = C ( C = C ( C = C 1 ) C ( C ( C ) ( C ) C ) N ) O C C
2,C 1 = C C = C ( C = C 1 ) C 2 C = C ( N C 3 = N C ( = S ) N C ( = O ) C 2 3 ) C 4 = C C = C ( C = C 4 ) Br
3,C O C 1 = C C = C ( C = C 1 ) C ( = O ) C 2 = C ( C ( = C 3 N 2 C 4 = C C = C C = C 4 C = C 3 ) C ( = O ) O C ) C ( = O ) O C
4,C 1 C N ( C C N 1 C C 2 = C C 3 = C ( C = C 2 ) O C O 3 ) C 4 = C C ( = N C ( = N 4 ) S C C 5 = C C ( = C C = C 5 ) C ( = O ) N C C 6 = C N = C C = C 6 ) Cl
5,C C 1 = C C = C ( C = C 1 ) S ( = O ) ( = O ) O C 2 = C ( C = C ( C = C 2 ) C 3 C ( C ( C 3 C ( = O ) O ) C 4 = C C ( = C ( C = C 4 ) O S ( = O ) ( = O ) C 5 = C C = C ( C = C 5 ) C ) O C ) C ( = O ) O ) O C
6,C C 1 C C C C N 1 S ( = O ) ( = O ) C 2 = C C = C ( C = C 2 ) C ( = O ) O C C O C 3 = C C = C C = C 3 C ( = O ) C
7,C 1 C N ( C C C 1 C C 2 = C C = C ( C = C 2 ) Cl ) C C C O C 3 = C C ( = C C = C 3 ) F
8,C O C 1 = C C = C C ( = C 1 ) C ( = O ) N 2 C C ( C C 2 C ( = O ) N 3 C C N C C 3 ) N ( C C 4 = C C = C ( C = C 4 ) [N+] ( = O ) [O-] ) C C 5 = C C = C S 5
9,C C 1 = C C = C C = C 1 N 2 C ( = O ) [C@@] 3 ( C 4 = C ( [C@@H] ( C N 3 C 2 = O ) C 5 = C C = C C = C 5 O C ) C 6 = C C = C C = C 6 N 4 ) C
10,C 1 = C C ( = C C = C 1 / C = N / N ) Cl
