id,SMILES_input,fingerprints_input_ECFP4,SMILES_output_ECFP4
1,C C 1 = C ( C = C C ( = C 1 ) C ( C ) ( C ) C ) O C [C@H] ( C [NH2+] C C C O C ) O,1 13 33 51 80 94 114 118 227 283 351 392 404 422 444 486 594 644 646 655 658 695 740 743 765 774 807 810 841 875 997 1005 1057 1100 1153 1157 1220 1229 1313 1322 1339 1353 1380 1391 1417 1452 1536 1616 1663 1665 1722 1724 1750 1836 1873 1911 1970 2007 2012 2038,CC1=C(C=CC(=C1)C(C)(C)C)OCC(C[NH2+]CCCOC)O
2,C ( C ( F ) ( F ) F ) ( C ( F ) ( F ) [18F] ) F,1 59 114 136 184 218 322 456 545 561 676 678 869 894 934 1050 1059 1081 1086 1131 1327 1354 1385 1434 1443 1453 1497 1825 1928 1945 2023 2031 2039,C(C(C(C(F)(F)F)F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(F)F
3,C C 1 = C C = C C = C 1 C ( C ( = O ) N C 2 C C C C 2 ) N ( C 3 = C C = C ( C = C 3 ) C ( = O ) O C ) C ( = O ) C C 4 = C C = C S 4,14 80 101 106 145 196 237 238 241 307 325 330 349 383 387 391 428 440 522 548 573 581 606 610 626 650 656 675 695 730 766 807 812 841 881 890 906 911 960 1019 1022 1028 1057 1088 1096 1102 1149 1152 1199 1238 1256 1259 1325 1380 1385 1391 1493 1522 1527 1567 1608 1625 1634 1643 1655 1661 1674 1697 1715 1722 1750 1758 1790 1802 1858 1873 1917 1948 1954 1985 1999 2002 2018 2020 2025,[S+]1(OC(C(N(c2ccc(cc2)C(=O)OC)C(=O)Cc2sccc2)c2c(cccc2)C)C(=O)NC2CCCC2)C(CC1)C(=O)NC1CCCC1
4,C C O C ( = O ) C 1 = C C = C ( C = C 1 ) N C ( = O ) C N 2 C 3 = C ( C ( C 4 C 5 C C ( C 4 S 3 ) C 6 C 5 C ( = O ) N ( C 6 = O ) C 7 = C C = C ( C = C 7 ) C ) C 8 = C C = C ( C = C 8 ) Cl ) S C 2 = O,5 41 63 80 89 121 129 145 147 162 191 202 216 219 222 233 235 294 314 348 382 461 505 555 561 606 620 622 650 670 675 695 742 746 759 777 802 807 816 843 853 854 901 910 913 924 926 935 993 994 1014 1019 1039 1057 1070 1077 1152 1157 1176 1238 1279 1284 1292 1312 1330 1337 1348 1357 1362 1380 1385 1402 1443 1453 1457 1464 1522 1541 1683 1686 1697 1703 1722 1750 1788 1798 1803 1816 1817 1823 1825 1917 1920 1935 1951 1960 1968,CCOC(=O)C1=CC=C(C=C1)N2C(=O)C3C4CC(C3C2=O)C5C4C(C6=C(S5)N(C(=O)S6)CC(=O)NC7=CC=C(C=C7)C)C8=CC=C(C=C8)Cl
5,C 1 [C@H] ( C N ( C 1 = O ) C C 2 = C C = C C = C 2 Cl ) C ( = O ) N C C C 3 = C C = C C = N 3,80 93 101 172 197 221 231 240 295 311 314 366 378 398 440 448 534 561 650 667 689 723 724 739 775 798 807 828 855 882 899 926 935 960 965 974 1012 1019 1028 1088 1089 1133 1137 1152 1153 1155 1174 1199 1243 1306 1344 1349 1380 1452 1478 1499 1521 1597 1598 1606 1651 1677 1683 1747 1750 1765 1819 1866 1873 1917 1935 1971 1984 1990,C1C(CN(C1=O)CC2=CC=CC=C2Cl)C(=O)NCCC3=CC=CC=N3
6,C 1 = C C = C 2 C ( = C 1 ) C = C C = C 2 N C 3 = C ( C = C ( C = N 3 ) C ( = O ) O ) Cl,47 122 324 347 366 378 389 430 441 456 491 540 561 563 650 669 708 721 807 812 875 1039 1087 1088 1104 1138 1152 1199 1207 1224 1262 1296 1347 1357 1380 1385 1452 1535 1573 1676 1683 1696 1712 1714 1750 1768 1855 1873 1905 1917 1972 1990 2008 2011,C1=CC=C2C(=C1)C=CC=C2NC3=C(C=C(C=N3)C(=O)O)NC4=CC(=NC=C4Cl)NC5=CC=CC6=CC=CC=C65
7,C O / N = C \ C ( / C = C / C 1 = C C = C C = C 1 ) S ( = O ) ( = O ) C 2 = C C = C C = C 2,1 161 228 260 319 350 367 389 419 463 477 478 515 575 650 694 695 725 761 835 837 841 878 888 918 940 977 989 990 1010 1044 1057 1088 1115 1199 1205 1234 1308 1353 1380 1390 1422 1446 1476 1524 1565 1624 1723 1726 1737 1750 1795 1857 1858 1873 1892 1909 2033,CO/N=C/C(/C=C/C1=CC=CC=C1)C(/C=C/C2=CC=CC=[N+]2C(/C=C/C3=CC=CC=C3)S(=O)(=O)C4=CC=CC=C4)/C=N/OC
8,C 1 = C C ( = O ) C 2 = C 1 C ( = O ) C = C 2,37 106 112 225 286 314 436 484 515 550 650 781 935 949 953 1021 1153 1209 1259 1276 1307 1380 1393 1398 1443 1568 1642 1680 1750 1873 1944 1963 1972 2029,C1=CC2=C3C=CC(=O)C(=C4C=CC(=[N+](C5=CC=C(C=C5)C6=C7C=CC(=O)C(=C7C=CC6=C2C=CC1=O)[N-]5)C8=CC=CC=C8)C=C4)[N-]3
9,C C 1 = C C ( = N O 1 ) C N ( C ) C 2 = C ( C = C 3 C C C ( = O ) N C 3 = C 2 ) N,27 80 210 248 285 290 314 319 341 378 410 505 507 534 569 584 636 650 656 684 724 793 868 875 881 910 926 937 939 972 988 1000 1019 1057 1064 1070 1101 1114 1163 1171 1184 1192 1212 1236 1338 1362 1380 1398 1404 1457 1531 1542 1557 1575 1646 1665 1684 1689 1703 1722 1738 1742 1851 1873 1910 1938 1982 1997 2011 2018,CC1=CC(=NO1)CN(C)C2=C(C=C3CCC(=O)NC3=C2)N(C)C4=C(C=C5C(=C4)CCC(=O)N5)N(C)CC6=NOC(=C6)C
10,C [N+] 1 = C N ( C 2 = C C = C C = C 2 1 ) C [C@@H] ( C O C [C@@H] 3 C C C = C C 3 ) O,1 16 29 45 75 80 84 118 171 185 192 223 227 277 313 328 329 343 435 463 522 564 582 597 598 601 673 687 695 796 801 807 835 870 914 923 926 935 971 983 1019 1057 1088 1103 1105 1128 1136 1159 1199 1280 1285 1325 1338 1380 1417 1427 1455 1475 1487 1500 1605 1717 1750 1754 1766 1873 1922 1961 1971 1992 2023 2038,C[N+]1=CN(C2=CC=CC=C21)CC(COCC3CC=CC3)O
